id;semestre;publicacion_oferta;inicio_matriculas;fin_matriculas;inicio_ajustes;fin_ajustes;inicio_clases;fin_clases;inicio_examenes_finales;fin_examenes_finales;inicio_validaciones;fin_validaciones;inicio_habilitaciones;fin_habilitaciones;terminacion_oficinal
1;ADP Violeta Guapa;2023-04-25T19:58:58;2023-04-25T21:16:25;2023-04-25T15:26:05;2023-04-25T14:45:10;2023-04-26T02:54:38;2023-04-25T23:12:21;2023-04-25T15:41:04;2023-04-26T02:36:31;2023-04-25T18:56:53;2023-04-25T05:56:34;2023-04-25T17:08:41;2023-04-25T20:36:52;2023-04-25T12:30:14;2023-04-26T05:24:13
2;Senior;2023-04-25T18:26:23;2023-04-25T06:10:10;2023-04-25T08:12:57;2023-04-25T10:11:55;2023-04-25T06:50:58;2023-04-25T14:15:17;2023-04-25T15:09:05;2023-04-26T05:03:08;2023-04-26T04:58:56;2023-04-26T03:36:56;2023-04-25T05:45:10;2023-04-26T03:20:06;2023-04-25T17:35:19;2023-04-25T09:10:26
3;eyeballs Unido previsión;2023-04-26T03:34:07;2023-04-25T06:23:55;2023-04-25T23:18:38;2023-04-25T22:29:06;2023-04-25T11:38:13;2023-04-25T21:59:22;2023-04-25T16:03:19;2023-04-25T16:43:34;2023-04-26T03:03:25;2023-04-25T11:14:03;2023-04-26T02:00:50;2023-04-25T16:00:36;2023-04-25T18:17:15;2023-04-26T01:18:58
4;TCP Asociado Inteligente;2023-04-25T12:54:04;2023-04-25T23:52:45;2023-04-25T11:27:27;2023-04-25T07:31:58;2023-04-25T10:19:33;2023-04-25T17:11:33;2023-04-26T05:07:58;2023-04-25T12:46:57;2023-04-25T20:58:57;2023-04-25T08:01:53;2023-04-26T01:59:22;2023-04-25T20:48:20;2023-04-25T07:19:12;2023-04-25T21:18:01
5;B2C Tácticas Usabilidad;2023-04-25T21:46:06;2023-04-25T10:25:05;2023-04-25T12:44:51;2023-04-25T06:39:32;2023-04-25T15:41:32;2023-04-25T18:13:58;2023-04-26T03:01:01;2023-04-26T03:31:02;2023-04-26T04:11:49;2023-04-25T21:38:10;2023-04-25T06:21:28;2023-04-25T16:12:33;2023-04-25T11:43:22;2023-04-25T05:37:02
6;microchip Verde;2023-04-25T11:12:02;2023-04-25T15:42:36;2023-04-25T20:08:47;2023-04-26T03:49:58;2023-04-25T15:35:09;2023-04-26T01:13:02;2023-04-25T23:24:09;2023-04-25T19:03:37;2023-04-26T03:23:52;2023-04-25T22:11:07;2023-04-25T18:05:49;2023-04-26T02:25:17;2023-04-25T05:51:40;2023-04-25T06:05:39
7;Loan;2023-04-25T08:45:13;2023-04-25T16:54:17;2023-04-26T04:54:37;2023-04-25T19:39:45;2023-04-25T19:22:39;2023-04-26T02:40:45;2023-04-25T07:41:34;2023-04-26T00:04:51;2023-04-25T13:23:38;2023-04-25T10:07:47;2023-04-25T22:28:50;2023-04-26T03:30:51;2023-04-25T13:47:21;2023-04-25T08:33:25
8;Dollar Aldea expedite;2023-04-25T10:38:21;2023-04-25T13:00:31;2023-04-26T05:19:23;2023-04-25T16:02:48;2023-04-25T18:16:45;2023-04-25T15:37:40;2023-04-25T10:22:22;2023-04-25T07:58:09;2023-04-26T00:12:20;2023-04-25T21:21:23;2023-04-26T02:47:19;2023-04-25T09:58:56;2023-04-25T18:50:25;2023-04-25T10:17:42
9;Ladrillo;2023-04-25T12:49:23;2023-04-25T17:44:30;2023-04-25T18:32:37;2023-04-26T03:33:43;2023-04-25T09:01:49;2023-04-25T22:33:40;2023-04-25T11:20:27;2023-04-25T20:17:36;2023-04-25T10:51:05;2023-04-25T12:39:42;2023-04-25T15:23:04;2023-04-25T16:41:19;2023-04-25T15:50:23;2023-04-25T21:35:43
10;PCI;2023-04-25T22:25:06;2023-04-25T08:09:20;2023-04-26T03:52:05;2023-04-25T07:36:45;2023-04-25T18:48:00;2023-04-25T10:17:38;2023-04-25T06:27:45;2023-04-25T17:41:26;2023-04-25T14:37:05;2023-04-25T07:40:14;2023-04-26T05:11:21;2023-04-25T12:38:53;2023-04-26T02:33:07;2023-04-26T02:44:09
